yearID,lgID,hits,atbat,doubles,triples,homeruns,singles,slug_perc
1983,AL,20662,77821,3710,549,1903,14500,0.4006502100975315
1994,AL,15048,55198,2939,325,1774,10010,0.4340555817239755
1953,NL,11342,42639,1777,414,1197,7954,0.4113135861535214
1993,AL,20661,77506,3861,427,2074,14299,0.4076845663561531
1982,AL,20566,77886,3493,519,2080,14474,0.4023444521480112
2006,AL,21572,78497,4301,391,2546,14334,0.43687019886110295
1975,AL,16861,65371,2662,429,1465,12305,0.37900598124550644
1988,NL,16277,65563,2828,415,1279,11755,0.3625825541845248
1978,NL,16556,65156,2861,482,1276,11937,0.3715544232304009
1957,AL,10703,41987,1663,307,1024,7709,0.3823088098697216
1974,NL,16907,66212,2642,447,1280,12538,0.3667462091463783
1982,NL,17085,66263,2823,445,1299,12518,0.37268158700934156
1963,AL,13609,55011,2114,352,1489,9654,0.37981494610168876
1990,NL,16917,65968,2967,405,1521,12024,0.38286745088527774
2014,NL,20562,82491,4005,459,2025,14073,0.38258719132996327
2007,AL,21181,78294,4299,433,2252,14197,0.4227910184688482
1947,AL,10739,42002,1708,412,679,7940,0.36445883529355744
2020,AL,7194,29631,1421,115,1143,4515,0.4142283419391853
1948,NL,11022,42256,1840,384,845,7953,0.3825492237788716
1976,NL,16778,65814,2652,499,1113,12514,0.3611237730574042
1989,AL,20078,77004,3404,457,1718,14499,0.383746298893564
1971,AL,15957,64641,2426,351,1484,11696,0.36411874816293066
2012,NL,22283,87814,4453,558,2434,14838,0.40032341084565104
1965,NL,13794,55377,2122,422,1318,9932,0.3740542102316846
2019,NL,20885,83094,4213,400,3298,12974,0.43074108840590175
2021,NL,19522,80604,3907,354,2885,12376,0.4068284452384497
2024,NL,20272,82127,3963,360,2739,13210,0.40391101586567146
2002,NL,22753,87794,4482,488,2595,15188,0.41000523953800944
2023,AL,20314,82324,4130,342,2925,12917,0.411824012438657
2001,AL,20852,78134,4200,440,2506,13706,0.42811068164947397
1989,NL,16215,65817,2903,411,1365,11536,0.36517920901894646
1950,NL,11085,42416,1885,370,1100,7730,0.401027913994719
1970,AL,16404,65675,2492,373,1746,11793,0.3788351732013704
1951,AL,11103,42361,1836,349,839,8079,0.3813413281084016
1978,AL,19952,76411,3325,538,1680,14409,0.38466974650246694
1969,NL,16461,65751,2455,471,1470,12065,0.36908944350656264
1947,NL,11264,42434,1860,392,886,8126,0.3903944949804402
2023,NL,20525,82094,4098,370,2943,13114,0.41649816064511413
2011,NL,22263,88119,4394,487,2281,15101,0.39122096256199
2013,AL,21325,83380,4183,348,2504,14290,0.4043655552890381
2005,NL,23058,88120,4754,468,2580,15256,0.41407172038129825
1992,NL,16538,65748,2967,459,1262,11850,0.36820891890247615
2005,AL,20933,78215,4109,420,2437,13967,0.42438151249760275
1952,AL,10690,42317,1716,339,794,7841,0.36547959448921236
1958,NL,11026,42143,1769,365,1183,7709,0.40514438934105307
1968,NL,13351,54913,1995,359,891,10106,0.34121246335111904
2001,NL,23027,88100,4613,488,2952,14974,0.42533484676503974
1968,AL,12359,53709,1874,338,1104,9043,0.3392541287307528
2006,NL,23501,88844,4834,561,2840,15266,0.427457115843501
1952,NL,10582,41878,1672,338,907,7665,0.3737284493051244
1961,AL,14037,54904,2226,404,1534,9873,0.3947435523823401
1958,AL,10595,41684,1623,290,1057,7625,0.3830966318011707
1979,NL,17229,66088,2886,518,1427,12398,0.3848202396804261
1976,AL,16820,65711,2588,467,1122,12643,0.3607919526411103
1973,AL,17193,66276,2624,404,1552,12613,0.381450298750679
1949,AL,10961,41669,1737,391,769,8064,0.37886678346012626
